#,ingredient_name,serving_quantity,serving_unit,serving_weight_grams,sugar_mg,iron_mg,calcium_mg,sodium_mg,protein_mg,cholesterol_mg,potassium_mg,lactose_mg,vitamin_C_mg,saturated_fat_mg,trans_fat_mg,dietary_fiber_mg,calories_kcal,alcohol_mg,magnesium_mg,zinc_mg
3074,romaine,1,leaves,17,202.3,0.1649,5.61,1.36,209.1,0,41.99,0,0.68,6.6,0,357,2.89,0,2.38,0.0391
3075,green apple,1,"medium (3"" dia)",182,18909.8,0.2184,10.92,1.82,473.2,0,194.74,0,8.372,51,0,4368,94.64,0,9.1,0.0728
3076,porterhouse steak,1,steak,421,0,12.63,79.99,269.44,106934,349.43,1081.97,0,0,31495,4702.6,0,1161.96,0,84.2,17.3873
3077,beets,1,"beet (2"" dia)",82,5543.2,0.656,13.12,63.96,1320.2,0,266.5,0,4.018,22.1,0,2296,35.26,0,18.86,0.287
3078,almond flour,1,cups,112,4872,4.1552,301.28,1.12,23688,0,820.96,0,0,4258.2,16.8,14000,648.48,0,302.4,3.4944
3079,red beans,1,cups,184,4103.2,15.088,263.12,44.16,43387.2,0,2587.04,0,8.28,220.8,0,45816,612.72,0,257.6,5.1336
3080,cashew nuts,1,cashew,1.57,78.7,0.0942,0.7065,10.048,240.4,0,8.8705,0,0,143.8,0,47.1,9.0118,0,4.082,0.0879
3081,tortilla shells,1,each taco,69,621,0.8211,61.41,273.93,6113.4,19.32,144.21,0,0.276,3025,322.2,2691,155.94,0,22.08,1.2075
3082,won ton wrappers,1,"wrapper, wonton",8,0,0.2688,3.76,45.76,784,0.72,6.56,0,0,21,0,144,23.28,0,1.6,0.0568
3083,bone broth,1,cups,252.86,535.4,0.1982,14.0309,486.2296,9356.8,2.49,24.01,0,0,23.2,0,0,40.97,0,4.6287,0.113
3084,hidden valley ranch,2,tbsp,28,1000,0,0,260,0,5,0,0,1.2,2500,0,0,140,0,0,0
3085,weiners,1,link,76,0,2.812,202.92,620.16,9735.6,50.16,200.64,0,1.52,6626.4,0,76,204.44,0,11.4,1.5884
3086,oreos,3,cookies,34,14000,1.08,0,140,1000,0,55,0,0,2000,0,500,160,0,0,0
3087,peach pie filling,0.33,cups,85,28035.8,0.1898,4.1819,0.3631,547.3,0,113.2953,0,3.9085,23.1,0,921.5,122.5005,0,5.4616,0.1064
3088,tuna in water,1,cans,172,0,1.6684,24.08,648.44,40626.4,72.24,407.64,0,0,1362.2,0,0,220.16,0,56.76,0.8256
3089,baby spinach,1,cups,30,126,0.813,29.7,23.7,858,0,167.4,0,8.43,18.9,0,660,6.9,0,23.7,0.159
3090,pico de gallo,1,cups,70,1875.1,0.375,12.1892,226.9803,738,0,165.1848,0,10.387,27.3,0,1023.9,16.6707,0,8.8034,0.1402
